id,ABBR,name,state_id,market_id
356,Chst,Chester,38,242
357,Blmt,Belmont,38,242
358,Extn,Exton,38,242
359,Mlvn,Malvern,38,242
360,Indl,Indianola,38,243
361,Pttb,Pittsburgh,38,243
362,NvIs,Neville Island,38,243
363,Blwn,Blawnox,38,243
364,Crps,Coraopolis,38,243
365,DuPn,Dupont,38,244
366,Kngs,Kingston,38,244
367,NwKg,New Kingstown,38,247
368,SnkS,Sinking Spring,38,245
369,Tckr,Tuckerton,38,245
370,Wrrn,Warren,38,246
371,SoWl,South Williamsport,38,247
372,Wlpt,Williamsport,38,247
373,Prvd,Providence,39,248
374,EPrv,East Providence,39,248
375,Bltn,Belton,40,249
376,Chln,Charleston,40,250
377,NChl,North Charleston,40,250
378,NAgt,North Augusta,40,251
379,Agst,Augusta,10,251
380,Sprt,Spartanburg,40,252
381,Abrd,Aberdeen,41,253
382,Mtch,Mitchell,41,254
383,RpCy,Rapid City,41,255
384,SxFl,Sioux Falls,41,256
385,Wtrt,Watertown,41,257
386,Ynkt,Yankton,41,259
387,Chtg,Chattanooga,42,260
388,LkMt,Lookout Mountain,10,260
389,Tynr,Tyner,42,260
390,Knxv,Knoxville,42,261
391,Mmph,Memphis,42,262
392,Nshv,Nashville,42,263
393,Hwly,Hawley,43,264
394,Abln,Abilene,43,264
395,Amrl,Amarillo,43,265
396,Swny,Sweeny,43,267
397,BCty,Bay City,43,267
398,Bmnt,Beaumont,43,268
399,PtAt,Port Arthur,43,268
400,BSnd,Big Sandy,43,292
401,Brnv,Brownsville,43,271
402,Brya,Bryan,43,272
403,Cntr,Center,43,274
404,CChr,Corpus Christi,43,275
405,FtWr,Fort Worth,43,276
406,Irvg,Irving,43,276
407,Solk,Southlake,43,276
408,Dlls,Dallas,43,276
409,Elss,Euless,43,276
410,Aldo,Aledo,43,276
411,ElPs,El Paso,43,277
412,Hrln,Harlingen,43,279
413,Hrne,Hearne,43,280
414,Ednb,Edinburg,43,281
415,Hdlg,Hidalgo,43,281
416,NHst,North Houston,43,282
417,Hbby,Hobby Airport,43,282
418,Hstn,Houston,43,282
419,Lbbk,Lubbock,43,284
420,Abrn,Abernathy,43,284
421,Mdld,Midland,43,285
422,Bypt,Bayport,43,287
423,Bytn,Baytown,43,287
424,SoHs,South Houston,43,287
425,Psdn,Pasadena,43,287
426,SnAg,San Angelo,43,288
427,SnAn,San Antonio,43,289
428,Shrn,Sheerin,43,290
429,Tylr,Tyler,43,292
430,Vctr,Victoria,43,293
431,Waco,Waco,43,294
432,Wskm,Waskom,43,295
433,WcFl,Wichita Falls,43,296
434,SlLk,Salt Lake City,44,298
435,NSlt,North Salt Lake,44,298
436,WdCr,Woods Cross,44,298
437,Frfx,Fairfax,46,299
438,Nwgt,Newington,46,299
439,Mnss,Manassas,46,299
440,Sprg,Springfield,46,299
441,Chsp,Chesapeake,46,300
442,Yrkt,Yorktown,46,300
443,NwNw,Newport News,46,300
444,Rcmd,Richmond,46,301
445,Mtvl,Montvale,46,302
446,Rnke,Roanoke,46,302
447,Brlg,Burlington,45,303
448,Rtln,Rutland,45,304
449,ChPt,Cherry Point,47,305
450,Frnd,Ferndale,47,305
451,MsLk,Moses Lake,47,306
452,Psco,Pasco,47,307
453,Sttl,Seattle,47,308
454,Rntn,Renton,47,308
455,Spkn,Spokane,47,309
456,Tmwt,Tumwater,47,310
457,Tcma,Tacoma,47,310
458,Clks,Clarkston,47,311
459,Chip,Chippewa Falls,49,312
460,GrnB,Green Bay,49,313
461,McFr,McFarland,49,315
462,Mdsn,Madison,49,315
463,Mlwk,Milwaukee,49,316
464,Supr,Superior,49,317
465,Wpun,Waupun,49,318
466,Wsau,Wausau,49,319
467,Chlt,Charleston,48,320
468,Hghs,Hugheston,48,320
469,Chyn,Cheyenne,50,322
470,Shrd,Sheridan,50,325
471,Sncl,Sinclair,50,326
472,Clgr,Calgary,60,327
473,Edmt,Edmonton,60,329
474,Kmlp,Kamloops,61,331
475,Vncv,Vancouver,61,333
476,StJh,Saint John,63,339
477,Hlfx,Halifax,65,341
478,Lond,London,66,343
479,Ottw,Ottawa,66,345
480,Srna,Sarnia,66,347
481,Tnto,Toronto,66,351
482,Mtrl,Montreal,68,353
483,StBn,Saint Boniface,62,337
484,Rgna,Regina,69,359
485,Dmpl,Demopolis,1,361
486,AlGA,Alma,10,363
487,Mlnr,Milner,10,364
488,Cntl,Cantril,15,365
489,NwHp,New Hampton,15,367
490,Ogdn,Ogden,15,368
491,Snbr,Sanborn,15,369
492,Whtg,Whiting,15,370
493,Tcla,Tuscola,13,74
494,Lmnt,Lemont,13,75
495,Frmg,Farmington,13,371
496,Tmpc,Tampico,13,373
497,Lbnn,Lebanon,14,88
498,Mlfr,Milford,14,89
499,Bsht,Bushton,16,402
500,Lcmp,Lecompton,16,377
501,Pola,Paola,16,378
502,RpRv,Rapid River,22,407
503,Bnsn,Benson,23,379
504,EgLk,Eagle Lake,23,403
505,VrCr,Vernon Center,23,139
506,Dxtr,Dexter,25,380
507,Mbly,Moberly,25,382
508,Htbg,Hattiesburg,24,383
509,Crrg,Carrington,34,384
510,Plts,Plattsmouth,27,386
511,Reno,Reno,28,197
512,Slkr,Selkirk,32,388
513,WkGl,Watkins Glen,32,389
514,Csht,Coshocton,35,390
515,Mddl,Middletown,35,391
516,Clmt,Calumet,36,392
517,Egle,Eagle,38,394
518,Grbg,Greensburg,38,237
519,Chrw,Cheraw,40,395
520,Lxgt,Lexington,40,396
521,Cant,Canton,41,256
522,MtBv,Mont Belvieu,43,400
523,Jnsv,Janesville,49,401
524,Clrk,Clarksville,14,111
525,Tcum,Tucumcari,31,410
526,Hlln,Holland,22,411
527,Anac,Anacortes,47,305
528,Clvt,Calvert City,17,112
529,Mntv,Montoursville,38,247
530,Flgs,Flagstaff,3,423
531,Qncy,Quincy,21,121
532,Kgld,Kingsland,4,424
533,Lght,Light,4,425
534,Brks,Brookston,14,439
535,Peru,Peru,14,87
536,Gnva,Geneva,32,206
537,Jltv,Jolietville,14,88
538,Nana,Nanaimo,61,432
539,SStM,Sault Sainte Marie,66,429
540,Hmlt,Hamilton,66,430
541,Nntc,Nanticoke,66,431
542,SJhn,Saint John's,64,433
543,Chtw,Charlottetown,67,434
544,Bngr,Bangor,19,125
545,Mryv,Marysville,22,435
546,StCl,Saint Clair,22,435
547,ElMr,El Mirage,3,12
548,Ptsm,Portsmouth,29,188
549,Mrgn,Morgan City,18,438
550,Mori,Moriarty,31,192
551,Mnee,Monee,13,75
552,Bllv,Bellevue,35,220
553,Blmf,Bloomfield,31,194
554,Chtm,Chatham,63,453
555,HyRv,Hay River,70,454
556,Mtld,Maitland,66,455
557,Nwcl,Newcastle,63,453
558,Sskt,Saskatoon,69,458
559,Trac,Terrace Bay,66,459
560,Hobb,Hobbs,31,460
561,GrSp,Green Springs,35,462
562,Wnpg,Winnipeg,62,337
563,Kgmn,Kingman,3,473
564,Wslw,Winslow,3,474
565,Gret,Gretna,62,476
566,Blvl,Belleville,66,477
567,King,Kingston,66,478
568,Lmay,Lemay,25,154
569,Sept,Sept-Iles,68,480
570,Rlst,Ralston,15,482
571,Aora,Aurora,41,256
572,Bssr,Bossier City,18,120
573,Lmbr,Lumberton,24,157
574,Sndr,Sandersville,24,157
575,WRJn,White River Junction,45,304
576,Elsw,Ellsworth,19,125
577,NwHd,New Hyde Park,32,202
578,Lhst,Lindenhurst,32,202
579,Fred,Fredericksburg,46,299
580,Essx,Essex Junction,45,303
581,LFll,Little Falls,23,137
582,Frld,Friesland,49,318
583,Pltn,Palestine,13,83
584,BfLk,Buffalo Lake,23,139
585,Clrt,Claremont,23,142
586,Mris,Morris,23,137
587,Wnnb,Winnebago,23,139
588,Wnth,Winthrop,23,139
589,Mltb,Malta Bend,25,145
590,CdrC,Cedar City,44,594
631,Dnvr,Denver,6,28
632,Pwst,Pan Western,28,196
633,Bstp,Bastrop,43,266
635,Nvda,Nevada,15,59
676,Mcng,Macungie,38,235
677,Rsmt,Rosemount,23,141
678,Chgo,Chicago,13,75
679,Chpl,Champlain,32,303
680,Drby,Derby Line,45,303
698,FNLY,Fernley,28,197
699,Brws,Brewster,23,494
700,RdwF,Redwood Falls,23,495
701,Hlsy,Halsey,27,497
703,PrhB,Prudhoe Bay,2,499
704,Alst,Allston,21,121
705,NoHv,North Haven,7,34
706,Tyls,Taylors,40,252
707,Arvd,Arvada,6,28
708,Eugn,Eugene,37,232
709,Cmtn,Compton,5,22
710,StPa,Saint Paul,23,141
717,Ignc,Ignacio,6,194
718,Opal,Opal,50,324
719,Lybr,Lybrook,31,194
720,Wlpl,North Walpole,29,304
721,McCr,McCarren,28,197
722,Prct,Princeton,18,120
723,IAFl,Iowa Falls,15,500
724,Albt,Albert Lea,23,496
725,Wlnt,Walnut Ridge,4,555
726,Cool,Coolidge,3,12
727,Actn,Acton,21,121
736,Mdfd,Medford,21,121
737,EHst,East Houston,43,282
738,Jmbg,Jamesburg,30,189
747,Arra,Aurora,27,180
748,Blrs,Blairstown,15,63
749,Glva,Galva,15,68
750,Lena,Lena,13,84
751,Mdby,Middlebury,45,304
752,Rdng,Reading,38,245
753,RvBc,Riviera Beach,9,551
754,MrHk,Marcus Hook,38,242
759,Snfd,Sanford,9,41
771,Dmth,Dartmouth,65,341
772,Mrmc,Miramichi,63,453
773,StRm,Saint Romuald,68,355
789,Fytv,Fayetteville,33,170
790,Stdm,Stedman,33,170
791,Wlsn,Wilson,33,172
792,Stan,Stanley,33,169
793,Wlst,Williamston,40,249
802,RpdC,Rapid City,62,558
803,Cair,Cairo,10,49
806,NMed,New Bedford,21,121
807,Alms,Alamosa,6,31
808,Orln,Orleans,45,303
809,FtLp,Fort Lupton,6,559
810,Mdfr,Medford,36,560
811,Wngt,Wingate,31,195
812,Lngh,Langhorne,38,242
813,Gllp,Gallup,31,195
814,Rwln,Rawlins,50,326
815,Sndv,Sandersville,10,52
816,PkCy,Park City,16,107
817,MsPt,Moss Point,24,160
823,Sylv,Sylvester,10,46
824,Crne,Crane,43,285
825,Hugo,Hugoton,16,571
826,Alxd,Alexandria,14,90
827,Chnc,Chancellor,41,256
828,Glnv,Glenville,23,496
829,Hdsn,Hudson,41,256
830,Lpsc,Leipsic,35,216
852,Plvl,Plainville,7,33
862,BkIs,Blakley Island,1,4
863,SteC,Ste-Catherine,68,353
864,Mntt,Monetta,40,251
865,Prmt,Paramount,5,22
866,Hckv,Hicksville,32,202
867,Mnhm,Manheim,38,239
868,Sbrg,Strasburg,38,239
869,Ontr,Ontario,37,70
870,Bshr,Bayshore,32,202
871,Ptcg,Patchogue,32,202
872,CMor,Center Moriches,32,202
873,ENpt,East Northport,32,202
874,HgMN,Hugo,23,141
877,RdFk,Road Forks,31,277
879,DrPk,Deer Park,43,287
880,Erie,Erie,38,561
883,Oswg,Oswego,32,207
886,HntS,Huntington Station,32,204
887,Mrrm,Merrimac,21,188
888,Bldn,Baldwin,18,115
889,Mnre,Monroe,33,169
890,Atkn,Atkinson,29,188
891,Rymd,Raymond,29,188
892,Lhue,Lihue,11,406
897,Hnks,Hankinson,34,174
898,Arlt,Arlington,21,121
899,Asld,Ashland,21,121
900,Wthm,Waltham,21,121
901,Glcs,Gloucester,21,121
902,Frmd,Farmingdale,32,202
903,Hlbk,Holbrook,32,202
904,Msph,Maspeth,32,204
905,Wtfd,Waterford,7,198
906,Chls,Chelsea,21,121
907,Scus,Secaucus,30,189
908,NwRc,New Rochelle,32,204
909,PtCh,Port Chester,32,204
910,Sthd,Southhold,32,202
911,Sthg,Southington,7,33
912,Ksby,Keasbey,30,189
913,Brgv,Breingsville,38,235
914,Okvl,Oakville,66,351
915,Rmsk,Rimouski,68,480
916,Tvrt,Tiverton,39,248
917,GlPk,Galena Park,43,282
918,Okld,Oakland,5,25
919,SnFr,San Francisco,5,25
920,Efgh,Effingham,13,77
921,ScCy,Scott City,16,104
922,OakC,Oakland City,14,91
923,Nwtn,Newton,15,59
924,Dnvl,Danville,13,74
925,Odsa,Odessa,47,306
926,Brbk,Burbank,47,307
927,Wsht,Washington,15,63
928,WlLk,Wall Lake,15,68
929,Frly,Farley,15,60
930,IGHs,Inver Grove Heights,23,141
931,Jksn,Jackson,23,494
932,Blge,Boligee,1,569
933,Hntv,Huntsville,1,554
934,Snca,Seneca,13,372
935,BdBk,Broad Brook,7,33
936,RkSp,Rock Springs,50,324
937,Rsvt,Roosevelt,44,297
938,Sdby,Sudbury,66,429
939,Crag,Craig,6,559
940,StSp,Steamboat Springs,6,559
941,Toga,Tioga,34,178
942,Dgls,Douglas,50,321
943,Npls,Naples,44,297
944,NTwn,New Town,34,178
945,Gllt,Gillette,50,325
946,Yokm,Yoakum,43,293
947,Ashv,Asheville,33,252
969,Wctr,Worcester,21,121
970,CoPt,College Point,32,204
971,Pltb,Plattsburg,25,99
972,Knrs,Kinross,22,129
974,Odss,Odessa,43,285
975,LFer,La Feria,43,279
976,Smko,Smackover,4,6
977,ArkC,Arkansas City,4,158
978,Srsp,Searsport,19,125
979,MiaB,Miami Beach,9,39
980,Brwk,Brunswick,10,363
981,Blvu,Bellevue,27,185
982,Omah,Omaha,27,185
983,Rswl,Roswell,31,193
984,Almg,Alamogordo,31,193
985,ELvp,East Liverpool,35,409
986,Drvb,Dravosburg,38,243
987,Vnpt,Vanport,38,409
988,Brgr,Borger,43,398
989,Strl,Sterling,46,299
990,Dmfr,Dumfries,46,299
991,VBch,Virginia Beach,46,300
992,TxCt,Texas City,43,287
993,ArHg,Arlington Heights,13,75
